Day,Clicks,Click Through Rate,Average CPM,Average CPC,Reactions,Other Clicks,Total Social Actions,Total Engagements,Engagement Rate,Viral Impressions,Reach,Average Frequency,"Cost per 1,000 People Reached",,
1,17,0.54%,20.8,3.83,2,6,8,25,0.80%,0,2367,1.324,27.54,,
2,13,0.47%,23.56,5.05,0,6,6,19,0.68%,0,2126,1.31,30.87,,
3,11,0.40%,23.71,5.98,0,5,5,18,0.65%,0,2394,1.158,27.46,,
4,4,0.17%,27.33,16.3,4,2,6,11,0.46%,0,2089,1.142,31.22,,
5,15,0.64%,27.77,4.34,0,3,3,19,0.81%,0,1959,1.197,33.23,,
6,7,0.24%,22.91,9.41,2,11,13,21,0.73%,0,2680,1.073,24.58,,
7,7,0.24%,22.12,9.33,0,6,6,16,0.54%,0,2163,1.366,30.21,,
8,7,0.26%,24.1,9.33,2,5,7,14,0.52%,0,2086,1.3,31.32,,
9,5,0.18%,23.53,13.09,0,5,5,10,0.36%,0,2327,1.196,28.13,,
10,9,0.33%,23.62,7.27,0,3,3,13,0.47%,0,1663,1.665,39.33,,
11,10,0.40%,25.93,6.52,1,8,9,19,0.76%,0,1889,1.332,34.53,,5
12,9,0.36%,26.22,7.29,0,1,1,10,0.40%,0,1806,1.385,36.32,,
13,8,0.28%,22.73,8.16,0,9,9,23,0.63%,0,2151,1.335,30.34,,
14,11,0.36%,21.56,5.93,0,4,5,23,0.59%,0,2699,1.122,24.19,,
15,9,0.29%,20.85,7.28,1,5,6,27,0.54%,0,2742,1.146,23.9,,
16,10,0.37%,24.57,6.57,0,5,5,25,0.56%,0,2239,1.194,29.34,,
17,5,0.16%,21.47,13.11,0,3,3,19,0.30%,0,2695,1.133,24.32,,
18,9,0.34%,24.41,7.27,0,1,1,21,0.41%,0,1992,1.345,32.83,,
19,15,0.54%,23.6,4.37,0,7,7,32,0.79%,0,1972,1.408,33.22,,
20,10,0.33%,21.18,6.53,0,4,4,24,0.45%,0,2752,1.12,23.72,,
21,3,0.10%,21.6,21.69,1,7,8,21,0.37%,0,2183,1.38,29.81,,
22,5,0.18%,22.83,13.06,0,9,9,25,0.52%,0,2175,1.315,30.01,,
23,14,0.49%,23,4.67,0,4,4,28,0.63%,0,2060,1.379,31.7,,
24,12,0.43%,23.38,5.44,0,1,1,25,0.54%,0,2034,1.373,32.11,,
25,9,0.35%,25.57,7.25,1,2,3,23,0.51%,1,1914,1.333,34.08,,
26,11,0.42%,24.71,5.94,0,5,5,27,0.64%,2,1823,1.449,35.81,,
27,9,0.31%,22.57,7.25,1,2,3,22,0.42%,5,2101,1.376,31.07,,
28,8,0.27%,22.08,8.18,0,3,3,22,0.41%,1,2052,1.444,31.89,,
29,12,0.40%,21.86,5.42,0,6,6,28,0.61%,2,2018,1.475,32.24,,
30,9,0.37%,26.9,7.26,0,7,7,27,0.70%,2,2218,1.095,29.45,,
31,10,0.41%,26.45,6.52,0,3,3,23,0.53%,0,2142,1.151,30.44,,
32,6,0.30%,32.16,10.89,1,11,12,30,0.99%,0,1606,1.265,40.67,,
33,5,0.23%,30.48,13.09,2,5,7,24,0.65%,0,1756,1.223,37.27,,
34,4,0.15%,24.59,16.32,0,5,5,22,0.45%,1,2235,1.188,29.21,,
35,10,0.35%,23,6.6,1,2,3,23,0.45%,0,2366,1.213,27.9,,
36,8,0.29%,23.89,8.18,1,1,2,21,0.40%,1,2129,1.287,30.74,,
37,13,0.65%,32.61,5.01,0,2,2,27,0.85%,1,1572,1.271,41.45,,
38,9,0.33%,23.96,7.3,0,5,5,26,0.58%,1,2427,1.131,27.09,,
39,11,0.46%,27.46,5.94,0,2,2,23,0.55%,1,1833,1.298,35.66,,
40,13,0.57%,28.62,5.04,0,3,3,31,0.70%,0,1663,1.378,39.42,,
41,10,0.37%,24.07,6.55,1,3,4,29,0.52%,0,2187,1.244,29.95,,
42,7,0.25%,23.39,9.32,0,8,9,32,0.61%,0,1914,1.457,34.07,,
43,10,0.36%,23.56,6.54,3,2,5,32,0.61%,12,2101,1.32,31.1,,
44,4,0.14%,23.52,16.42,0,3,3,23,0.29%,3,1956,1.428,33.58,,
45,6,0.22%,23.89,10.91,1,1,2,19,0.33%,4,2043,1.341,32.04,,
46,8,0.34%,27.8,8.17,0,5,5,23,0.55%,0,1674,1.405,39.06,,
47,11,0.45%,26.66,5.93,0,4,4,26,0.65%,2,1562,1.567,41.79,,
48,6,0.21%,22.7,10.88,0,2,2,18,0.28%,1,2246,1.28,29.06,,
49,9,0.35%,25.26,7.24,0,5,5,25,0.58%,2,1973,1.308,33.04,,
50,12,0.48%,25.92,5.43,0,6,6,28,0.72%,0,1968,1.277,33.1,,
